<name3> = <val6>	<name3> に <val6> を入れる
<name3> . rotate ( )	右に <name3> の値をひとつローテート直す
<name1> . rotate ( )	右に <name1> の値をひとつローテート直す
<name1> . rotate ( )	<name1> の値を右にひとつローテート置き換える
<name6> . rotate ( )	<name6> の値を右にひとつローテート直す
<name1> . rotate ( )	<name1> の値を右にひとつローテート直す
<name1> . rotate ( <val4> )	<name1> の要素を右に <val4> つずつローテートする
<name1> . rotate ( <val2> )	<name1> の要素を右に <val2> つずつローテートする
<name3> . rotate ( <val6> )	<name3> の要素を右に <val6> つずつローテート置き換える
<name1> . rotate ( <val2> )	<name1> の要素を右に <val2> つずつローテート置き換える
<name4> . rotate ( <val1> )	<name4> の値を右に <val1> つずつローテート直す
<name1> . rotate ( <val2> )	<name1> の値を右に <val2> つずつローテート直す
<name4> . rotate ( <val3> )	右に <name4> の要素を <val3> つずつローテートする
<name1> . rotate ( <val2> )	右に <name1> の要素を <val2> つずつローテートする
<name6> . rotate ( <val3> )	<name6> の要素を右に <val3> つずつ回転する
<name1> . rotate ( <val2> )	<name1> の要素を右に <val2> つずつ回転する
<name4> . rotate ( <val6> )	右に <name4> の値を <val6> つずつ回転する
<name1> . rotate ( <val2> )	右に <name1> の値を <val2> つずつ回転する
<name5> . rotate ( <val4> )	右に <name5> の値を <val4> つずつローテートする
<name1> . rotate ( <val2> )	右に <name1> の値を <val2> つずつローテートする
<name2> . rotate ( <val1> )	右に <name2> の要素を <val1> つずつ回転する
<name1> . rotate ( <val2> )	右に <name1> の要素を <val2> つずつ回転する
<name1> . rotate ( <val3> )	右に <name1> の要素を <val3> つずつローテート直す
<name1> . rotate ( <val2> )	右に <name1> の要素を <val2> つずつローテート直す
<name3> . rotate ( <val4> )	<name3> の要素を右に <val4> つずつローテート直す
<name1> . rotate ( <val2> )	<name1> の要素を右に <val2> つずつローテート直す
<name2> . rotate ( <val1> )	右に <name2> の要素を <val1> つずつローテート置き換える
<name1> . rotate ( <val2> )	右に <name1> の要素を <val2> つずつローテート置き換える
<name3> . rotate ( <val5> )	右に <name3> の値を <val5> つずつローテート置き換える
<name1> . rotate ( <val2> )	右に <name1> の値を <val2> つずつローテート置き換える
<name2> . rotate ( <val1> )	<name2> の値を右に <val1> つずつローテートする
<name1> . rotate ( <val2> )	<name1> の値を右に <val2> つずつローテートする
<name3> . rotate ( <val5> )	右に <name3> の値を <val5> つずつローテート直す
<name1> . rotate ( <val2> )	右に <name1> の値を <val2> つずつローテート直す
<name6> . rotate ( <val3> )	<name6> の値を右に <val3> つずつ回転する
<name1> . rotate ( <val2> )	<name1> の値を右に <val2> つずつ回転する
<name4> . rotate ( <val1> )	<name4> の値を右に <val1> つずつローテート置き換える
<name1> . rotate ( <val2> )	<name1> の値を右に <val2> つずつローテート置き換える
collections . Counter ( <name5> )	<name5> の辞書カウンタ
collections . Counter ( <name1> )	<name1> の辞書カウンタ
collections . Counter ( <name2> )	<name2> リストの辞書カウンタ
collections . Counter ( <name1> )	<name1> リストの辞書カウンタ
collections . Counter ( <name5> )	リスト <name5> の辞書カウンタ
collections . Counter ( <name1> )	リスト <name1> の辞書カウンタ
<name6> = collections . Counter ( <name4> )	<name4> の辞書カウンタを <name6> に代入する
<name1> = collections . Counter ( <name2> )	<name2> の辞書カウンタを <name1> に代入する
<name2> = collections . Counter ( <name1> )	リスト <name1> の辞書カウンタを <name2> とする
<name1> = collections . Counter ( <name2> )	リスト <name2> の辞書カウンタを <name1> とする
<name6> = collections . Counter ( <name3> )	<name3> リストの辞書カウンタを <name6> とする
<name1> = collections . Counter ( <name2> )	<name2> リストの辞書カウンタを <name1> とする
<name6> . most_common ( )	<name6> の出現回数順の列
<name1> . most_common ( )	<name1> の出現回数順の列
<name6> . most_common ( )	<name6> の出現頻度順の列
<name1> . most_common ( )	<name1> の出現頻度順の列
<name5> . most_common ( <val6> )	<name5> の上位 <val6> 位までの出現回数順の列
<name1> . most_common ( <val2> )	<name1> の上位 <val2> 位までの出現回数順の列
<name2> . most_common ( <val4> )	<name2> の上位 <val4> 個の出現頻度順の列
<name1> . most_common ( <val2> )	<name1> の上位 <val2> 個の出現頻度順の列
<name1> . most_common ( <val4> )	<name1> の上位 <val4> 位までの出現頻度順の列
<name1> . most_common ( <val2> )	<name1> の上位 <val2> 位までの出現頻度順の列
<name5> . most_common ( <val2> )	<name5> の上位 <val2> 個の出現回数順の列
<name1> . most_common ( <val2> )	<name1> の上位 <val2> 個の出現回数順の列
import <name1>	<name1> モジュールをインポートする
import <name5>	<name5> モジュールをインポート置き換える
import <name1>	<name1> モジュールをインポート置き換える
import <name6>	<name6> モジュールをインポート直す
import <name1>	<name1> モジュールをインポート直す
os . sep	ファイルパスのセパレータ記号
os . getcwd	現在の作業ディレクトリ
os . system	コマンド
os . path . basename ( <name2> )	パス <name2> のファイル名
os . path . basename ( <name1> )	パス <name1> のファイル名
os . path . basename ( <name5> )	パス文字列 <name5> のファイル名
os . path . basename ( <name1> )	パス文字列 <name1> のファイル名
os . path . dirname ( <name6> )	パス <name6> のディレクトリ名
os . path . dirname ( <name1> )	パス <name1> のディレクトリ名
os . path . dirname ( <name5> )	パス文字列 <name5> のディレクトリ名
os . path . dirname ( <name1> )	パス文字列 <name1> のディレクトリ名
os . path . abspath ( <name2> )	パス文字列 <name2> の絶対ファイルパス
os . path . abspath ( <name1> )	パス文字列 <name1> の絶対ファイルパス
os . path . abspath ( <name6> )	パス <name6> の絶対ファイルパス
os . path . abspath ( <name1> )	パス <name1> の絶対ファイルパス
os . path . split ( <name1> )	パス <name1> のディレクトリ名とファイル名
os . path . split ( <name6> )	パス文字列 <name6> のディレクトリ名とファイル名
os . path . split ( <name1> )	パス文字列 <name1> のディレクトリ名とファイル名
os . path . join ( <val5> , <val2> , <val4> )	<val5> と <val2> と <val4> を連結したファイルパス
os . path . join ( <val1> , <val2> , <val3> )	<val1> と <val2> と <val3> を連結したファイルパス
os . path . splitext ( <name6> )	パス文字列 <name6> のファイル名と拡張子
os . path . splitext ( <name1> )	パス文字列 <name1> のファイル名と拡張子
os . path . splitext ( <name2> )	パス <name2> のファイル名と拡張子
os . path . splitext ( <name1> )	パス <name1> のファイル名と拡張子
os . path . get_size ( <name4> )	パス <name4> のファイルのサイズ
os . path . get_size ( <name1> )	パス <name1> のファイルのサイズ
os . path . get_size ( <name3> )	パス <name3> のファイルの大きさ
os . path . get_size ( <name1> )	パス <name1> のファイルの大きさ
os . path . get_size ( <name4> )	パス文字列 <name4> のファイルの大きさ
os . path . get_size ( <name1> )	パス文字列 <name1> のファイルの大きさ
os . path . get_size ( <name4> )	パス文字列 <name4> のファイルのサイズ
os . path . get_size ( <name1> )	パス文字列 <name1> のファイルのサイズ
import <name1>	<name1> モジュールをインポートする
import <name1>	<name1> モジュールをインポート置き換える
import <name6>	<name6> モジュールをインポート直す
import <name1>	<name1> モジュールをインポート直す
sys . exit ( )	プログラムを終了する
sys . exit ( )	命令を終了する
sys . exit ( )	処理を抜ける
import <name5>	<name5> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
import <name2>	<name2> モジュールをインポート直す
import <name1>	<name1> モジュールをインポート直す
import <name4>	<name4> モジュールをインポート置き換える
import <name1>	<name1> モジュールをインポート置き換える
datetime . datetime . now ( )	現在の日時
datetime . datetime ( <name1> , <name4> , <name2> )	<name1> 年 <name4> 月 <name2> 日の日時
datetime . datetime ( <name1> , <name2> , <name3> )	<name1> 年 <name2> 月 <name3> 日の日時
datetime . datetime ( <name4> , <name6> , <name5> , <name1> , <name2> )	<name4> 年 <name6> 月 <name5> 日 <name1> 時 <name2> 分の日時
datetime . datetime ( <name1> , <name2> , <name3> , <name4> , <name5> )	<name1> 年 <name2> 月 <name3> 日 <name4> 時 <name5> 分の日時
datetime . datetime ( <name3> , <name2> , <name4> , <name6> , <name1> , <name5> )	<name3> 年 <name2> 月 <name4> 日 <name6> 時 <name1> 分 <name5> 秒の日時
datetime . datetime ( <name1> , <name2> , <name3> , <name4> , <name5> , <name6> )	<name1> 年 <name2> 月 <name3> 日 <name4> 時 <name5> 分 <name6> 秒の日時
re . search ( <name6> , <name3> )	<name3> において正規表現 <name6> のパターンが最初にマッチする位置
re . search ( <name1> , <name2> )	<name2> において正規表現 <name1> のパターンが最初にマッチする位置
re . search ( <name1> , <name2> )	<name2> において正規表現 <name1> のパターンが最初にマッチするインデックス
re . match ( <name1> , <name2> )	<name2> の先頭に正規表現 <name1> のパターンをマッチさせた結果
re . match ( <name1> , <name2> )	正規表現 <name1> のパターンを <name2> の先頭にマッチさせた結果
re . match ( <name5> , <name4> )	正規表現 <name5> のパターンを <name4> の最初にマッチさせた結果
re . match ( <name1> , <name2> )	正規表現 <name1> のパターンを <name2> の最初にマッチさせた結果
re . match ( <name6> , <name1> )	<name1> の最初に正規表現 <name6> のパターンをマッチさせた結果
re . match ( <name1> , <name2> )	<name2> の最初に正規表現 <name1> のパターンをマッチさせた結果
re . match ( <name5> , <name2> )	<name2> の左側に正規表現 <name5> のパターンをマッチさせた結果
re . match ( <name1> , <name2> )	<name2> の左側に正規表現 <name1> のパターンをマッチさせた結果
re . match ( <name1> , <name3> )	正規表現 <name1> のパターンを <name3> の左側にマッチさせた結果
re . match ( <name1> , <name2> )	正規表現 <name1> のパターンを <name2> の左側にマッチさせた結果
re . fullmatch ( <name2> , <name1> )	<name1> 全体において正規表現 <name2> のパターンをマッチさせた結果
re . fullmatch ( <name1> , <name2> )	<name2> 全体において正規表現 <name1> のパターンをマッチさせた結果
re . split ( <name5> , <name4> )	<name4> を正規表現 <name5> のパターンにマッチした箇所で分割した文字列リスト
re . split ( <name1> , <name2> )	<name2> を正規表現 <name1> のパターンにマッチした箇所で分割した文字列リスト
re . split ( <name1> , <name2> )	<name2> を正規表現 <name1> のパターンにマッチした部分で分割した文字列リスト
re . sub ( <name1> , <name5> , <name2> )	<name2> 内の正規表現 <name1> のパターンにマッチした箇所を <name5> に置き換えた文字列
re . sub ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列
re . sub ( <name5> , <name4> , <name1> )	<name1> 中の正規表現 <name5> のパターンにマッチした箇所を <name4> に置き換えた文字列
re . sub ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列
re . sub ( <name1> , <name5> , <name6> )	<name6> の中の正規表現 <name1> のパターンにマッチした箇所を <name5> に置き換えたデータ
re . sub ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータ
re . sub ( <name4> , <name6> , <name3> )	<name3> 中の正規表現 <name4> のパターンにマッチした箇所を <name6> に置き換えた値
re . sub ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値
re . sub ( <name6> , <name4> , <name3> )	<name3> 中の正規表現 <name6> のパターンにマッチした箇所を <name4> に置き換えたデータ
re . sub ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータ
re . sub ( <name4> , <name5> , <name1> )	<name1> の中の正規表現 <name4> のパターンにマッチした箇所を <name5> に置き換えた値
re . sub ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値
re . sub ( <name4> , <name3> , <name6> )	<name6> 内の正規表現 <name4> のパターンにマッチした箇所を <name3> に置き換えたデータ
re . sub ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータ
re . sub ( <name4> , <name5> , <name1> )	<name1> の中の正規表現 <name4> のパターンにマッチした箇所を <name5> に置き換えた文字列
re . sub ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列
re . sub ( <name4> , <name5> , <name3> )	<name3> 内の正規表現 <name4> のパターンにマッチした箇所を <name5> に置き換えた値
re . sub ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値
re . subn ( <name3> , <name4> , <name5> )	<name5> 内の正規表現 <name3> のパターンにマッチした箇所を <name4> に置き換えた文字列と置き換えた箇所の数
re . subn ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列と置き換えた箇所の数
re . subn ( <name6> , <name3> , <name4> )	<name4> の中の正規表現 <name6> のパターンにマッチした箇所を <name3> に置き換えた文字列と置き換え箇所の個数
re . subn ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列と置き換え箇所の個数
re . subn ( <name4> , <name5> , <name2> )	<name2> 中の正規表現 <name4> のパターンにマッチした箇所を <name5> に置き換えたデータと置換箇所数
re . subn ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータと置換箇所数
re . subn ( <name3> , <name5> , <name2> )	<name2> 中の正規表現 <name3> のパターンにマッチした箇所を <name5> に置き換えた文字列と置換箇所数
re . subn ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列と置換箇所数
re . subn ( <name2> , <name4> , <name5> )	<name5> 内の正規表現 <name2> のパターンにマッチした箇所を <name4> に置き換えた値と置き換えた箇所の数
re . subn ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値と置き換えた箇所の数
re . subn ( <name6> , <name4> , <name3> )	<name3> 内の正規表現 <name6> のパターンにマッチした箇所を <name4> に置き換えたデータと置き換えた箇所の数
re . subn ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータと置き換えた箇所の数
re . subn ( <name3> , <name1> , <name6> )	<name6> の中の正規表現 <name3> のパターンにマッチした箇所を <name1> に置き換えたデータと置き換え箇所の個数
re . subn ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えたデータと置き換え箇所の個数
re . subn ( <name3> , <name5> , <name2> )	<name2> 中の正規表現 <name3> のパターンにマッチした箇所を <name5> に置き換えた値と置換箇所数
re . subn ( <name1> , <name2> , <name3> )	<name3> 中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値と置換箇所数
re . subn ( <name5> , <name1> , <name6> )	<name6> の中の正規表現 <name5> のパターンにマッチした箇所を <name1> に置き換えた値と置き換え箇所の個数
re . subn ( <name1> , <name2> , <name3> )	<name3> の中の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた値と置き換え箇所の個数
re . findall ( <name1> , <name6> )	<name6> が正規表現 <name1> のパターンにマッチした文字列のリスト
re . findall ( <name1> , <name2> )	<name2> が正規表現 <name1> のパターンにマッチした文字列のリスト
re . findall ( <name6> , <name1> )	正規表現 <name6> のパターンに <name1> がマッチした文字列のリスト
re . findall ( <name1> , <name2> )	正規表現 <name1> のパターンに <name2> がマッチした文字列のリスト
re . findall ( <name1> , <name4> )	<name4> が正規表現 <name1> のパターンにマッチした値のリスト
re . findall ( <name1> , <name2> )	<name2> が正規表現 <name1> のパターンにマッチした値のリスト
re . findall ( <name4> , <name5> )	正規表現 <name4> のパターンに <name5> がマッチした値のリスト
re . findall ( <name1> , <name2> )	正規表現 <name1> のパターンに <name2> がマッチした値のリスト
re . findall ( <name5> , <name1> )	正規表現 <name5> のパターンに <name1> がマッチしたデータのリスト
re . findall ( <name1> , <name2> )	正規表現 <name1> のパターンに <name2> がマッチしたデータのリスト
re . findall ( <name1> , <name3> )	<name3> が正規表現 <name1> のパターンにマッチしたデータのリスト
re . findall ( <name1> , <name2> )	<name2> が正規表現 <name1> のパターンにマッチしたデータのリスト
re . compile ( <name2> )	<name2> を正規表現にコンパイルした結果
re . compile ( <name1> )	<name1> を正規表現にコンパイルした結果
re . compile ( <name5> )	正規表現に <name5> をコンパイルした結果
re . compile ( <name1> )	正規表現に <name1> をコンパイルした結果
print ( <val4> )	<val4> とプリントする
print ( <val1> )	<val1> とプリントする
print ( <val4> )	<val4> と出力する
print ( <val1> )	<val1> と出力する
print ( <val2> )	<val2> と表示する
print ( <val1> )	<val1> と表示する
print ( 'Hello World' )	「ハローワールド」とプリントする
print ( 'Hello World' )	「こんにちは世界」とプリントする
print ( 'Hello World' )	「こんにちは世界」と表示する
print ( 'Hello World' )	「こんにちは世界」と出力する
print ( 'Hello World' )	「ハローワールド」と出力する
print ( 'Hello World' )	「ハローワールド」と表示する
print ( 'Hello World' )	試しに何か動かす
print ( 'Hello World' )	何か動かす
print ( 'Hello World' )	最初のプログラム
print ( 'Hello World' )	最初の処理
print ( 'Hello World' )	最初の命令
<val2> + <val5>	<val2> 足す <val5>
<val1> + <val2>	<val1> 足す <val2>
<val3> + <val2>	<val3> たす <val2>
<val1> + <val2>	<val1> たす <val2>
<val2> + <val4>	<val2> に <val4> を加算する
<val1> + <val2>	<val1> に <val2> を加算する
<val4> + <val3>	<val3> を <val4> に加算する
<val1> + <val2>	<val2> を <val1> に加算する
<val5> + <val1>	<val5> と <val1> の和
<val1> + <val2>	<val1> と <val2> の和
<val2> + <val5> + <val3>	<val2> 足す <val5> 足す <val3>
<val1> + <val2> + <val3>	<val1> 足す <val2> 足す <val3>
<val4> + <val2> + <val3>	<val4> たす <val2> たす <val3>
<val1> + <val2> + <val3>	<val1> たす <val2> たす <val3>
<val2> + <val1> + <val4>	<val2> , <val1> , <val4> の和
<val1> + <val2> + <val3>	<val1> , <val2> , <val3> の和
<val1> -70	<val1> から 70 を引く
<val6> -70	<val6> から 70 をひく
<val1> -70	<val1> から 70 をひく
<val1> * <val2>	<val1> かける <val2>
<val2> * <val4>	<val2> 掛ける <val4>
<val1> * <val2>	<val1> 掛ける <val2>
<val6> / <val1>	<val6> を <val1> で割る
<val1> / <val2>	<val1> を <val2> で割る
<val2> / <val4>	<val2> を <val4> でわる
<val1> / <val2>	<val1> を <val2> でわる
<val6> // <val2>	<val6> を <val2> で割った商
<val1> // <val2>	<val1> を <val2> で割った商
<val1> // <val5>	<val1> を <val5> でわった商
<val1> // <val2>	<val1> を <val2> でわった商
<val5> % <val3>	<val5> を <val3> で割った余り
<val1> % <val2>	<val1> を <val2> で割った余り
<val5> % <val6>	<val5> を <val6> で割ったあまり
<val1> % <val2>	<val1> を <val2> で割ったあまり
<val4> % <val6>	<val4> を <val6> でわったあまり
<val1> % <val2>	<val1> を <val2> でわったあまり
<val3> % <val4>	<val3> を <val4> でわった余り
<val1> % <val2>	<val1> を <val2> でわった余り
<val6> ** <val2>	<val6> の <val2> 乗
<val1> ** <val2>	<val1> の <val2> 乗
<val3>   + <val1>	文字列 <val3> と <val1> を連結する
<val1>   + <val2>	文字列 <val1> と <val2> を連結する
<val1>   + <val2>	文字列 <val1> と <val2> を結合する
<val6>   + <val5>	文字列 <val6> と <val5> を繋ぐ
<val1>   + <val2>	文字列 <val1> と <val2> を繋ぐ
<val3>   + <val5>	値 <val3> と <val5> を繋ぐ
<val1>   + <val2>	値 <val1> と <val2> を繋ぐ
<val5>   + <val1>	データ <val5> と <val1> を結合する
<val1>   + <val2>	データ <val1> と <val2> を結合する
<val4>   + <val6>	値 <val4> と <val6> を結合する
<val1>   + <val2>	値 <val1> と <val2> を結合する
<val1>   + <val2>	データ <val1> と <val2> を繋ぐ
<val4>   + <val1>	値 <val4> と <val1> を連結する
<val1>   + <val2>	値 <val1> と <val2> を連結する
<val2>   + <val1>	データ <val2> と <val1> を連結する
<val1>   + <val2>	データ <val1> と <val2> を連結する
<val5>   + <val2>	<val5> と <val2> を繋ぐ
<val1>   + <val2>	<val1> と <val2> を繋ぐ
<val4>   + <val1>	<val4> と <val1> を結合する
<val1>   + <val2>	<val1> と <val2> を結合する
<val4>   + <val3>	<val4> と <val3> を連結する
<val1>   + <val2>	<val1> と <val2> を連結する
str ( <val6> )	<val6> を文字列に変換する
str ( <val1> )	<val1> を文字列に変換する
str ( <val4> )	データに <val4> をする
str ( <val1> )	データに <val1> をする
str ( <val6> )	<val6> を値に置き換える
str ( <val1> )	<val1> を値に置き換える
str ( <val2> )	<val2> をデータにする
str ( <val1> )	<val1> をデータにする
str ( <val4> )	<val4> を文字列に直す
str ( <val1> )	<val1> を文字列に直す
str ( <val6> )	値に <val6> を直す
str ( <val1> )	値に <val1> を直す
str ( <val5> )	文字列に <val5> を変換する
str ( <val1> )	文字列に <val1> を変換する
str ( <val2> )	<val2> をデータに置き換える
str ( <val1> )	<val1> をデータに置き換える
str ( <val1> )	文字列に <val1> を直す
str ( <val6> )	データに <val6> を置き換える
str ( <val1> )	データに <val1> を置き換える
str ( <val4> )	値に <val4> を置き換える
str ( <val1> )	値に <val1> を置き換える
str ( <val5> )	<val5> を値に直す
str ( <val1> )	<val1> を値に直す
str ( <val6> )	<val6> を文字列にする
str ( <val1> )	<val1> を文字列にする
str ( <val3> )	<val3> をデータにする
str ( <val1> )	<val1> をデータにする
str ( <val5> )	文字列に <val5> をする
str ( <val1> )	文字列に <val1> をする
str ( <val1> )	データに <val1> を置き換える
str ( <val3> )	データに <val3> をする
str ( <val1> )	データに <val1> をする
str ( <val6> )	値に <val6> を直す
str ( <val1> )	値に <val1> を直す
str ( <val5> )	<val5> を値に直す
str ( <val1> )	<val1> を値に直す
str ( <val4> )	<val4> を文字列に直す
str ( <val1> )	<val1> を文字列に直す
str ( <val3> )	<val3> を値に置き換える
str ( <val1> )	<val1> を値に置き換える
str ( <val3> )	値に <val3> を置き換える
str ( <val1> )	値に <val1> を置き換える
str ( <val5> )	<val5> をデータに置き換える
str ( <val1> )	<val1> をデータに置き換える
str ( <val1> )	文字列に <val1> を直す
str ( <val1> )	<val1> を変換した文字列
str ( <val2> )	<val2> をしたデータ
str ( <val1> )	<val1> をしたデータ
str ( <val1> )	<val1> を変換した値
str ( <val3> )	<val3> をした値
str ( <val1> )	<val1> をした値
<val5>   * <val4>	文字列 <val5> を <val4> 回繰り返す
<val1>   * <val2>	文字列 <val1> を <val2> 回繰り返す
<val4>   * <val5>	データ <val4> を <val5> 回繰り返す
<val1>   * <val2>	データ <val1> を <val2> 回繰り返す
<val4>   * <val5>	値 <val4> を <val5> 回繰り返す
<val1>   * <val2>	値 <val1> を <val2> 回繰り返す
<val1>   * <val2>	文字列 <val1> を <val2> 回繰り返す
<val2>   * <val5>	データ <val2> を <val5> 回繰り返す
<val1>   * <val2>	データ <val1> を <val2> 回繰り返す
<val2>   * <val5>	値 <val2> を <val5> 回繰り返す
<val1>   * <val2>	値 <val1> を <val2> 回繰り返す
x = input ( )	ユーザから入力を得る
<name1> = input ( )	ユーザが入力した文字列を <name1> とする
<name6> = input ( )	ユーザが入力した値を <name6> と直す
<name1> = input ( )	ユーザが入力した値を <name1> と直す
<name5> = input ( )	ユーザが入力したデータを <name5> とする
<name1> = input ( )	ユーザが入力したデータを <name1> とする
<name2> = input ( )	ユーザが入力した値を <name2> と置き換える
<name1> = input ( )	ユーザが入力した値を <name1> と置き換える
<name1> = input ( )	ユーザが入力した文字列を <name1> と直す
<name2> = input ( )	ユーザが入力したデータを <name2> と置き換える
<name1> = input ( )	ユーザが入力したデータを <name1> と置き換える
x = input ( )	ユーザから入力された文字列
x = input ( )	ユーザから入力された値
x = input ( )	入力された文字列
x = input ( )	入力されたデータ
x = input ( )	入力された値
x = input ( )	ユーザから入力されたデータ
x = input ( <val3> )	<val3> というプロンプトを表示しユーザに文字列を入力させる
x = input ( <val1> )	<val1> というプロンプトを表示しユーザに文字列を入力させる
x = input ( <val5> )	文字列を表示しユーザに <val5> というプロンプトを入力させる
x = input ( <val1> )	文字列を表示しユーザに <val1> というプロンプトを入力させる
x = input ( <val5> )	表示しユーザに値を <val5> というプロンプトを入力させる
x = input ( <val1> )	表示しユーザに値を <val1> というプロンプトを入力させる
x = input ( <val2> )	表示しユーザにデータを <val2> というプロンプトを入力させる
x = input ( <val1> )	表示しユーザにデータを <val1> というプロンプトを入力させる
x = input ( <val3> )	<val3> というプロンプトを表示しユーザに値を入力させる
x = input ( <val1> )	<val1> というプロンプトを表示しユーザに値を入力させる
x = input ( <val5> )	値を表示しユーザに <val5> というプロンプトを入力させる
x = input ( <val1> )	値を表示しユーザに <val1> というプロンプトを入力させる
x = input ( <val4> )	<val4> というプロンプトをデータを表示しユーザに入力させる
x = input ( <val1> )	<val1> というプロンプトをデータを表示しユーザに入力させる
x = input ( <val6> )	表示しユーザに文字列を <val6> というプロンプトを入力させる
x = input ( <val1> )	表示しユーザに文字列を <val1> というプロンプトを入力させる
x = input ( <val5> )	値を <val5> というプロンプトを表示しユーザに入力させる
x = input ( <val1> )	値を <val1> というプロンプトを表示しユーザに入力させる
x = input ( <val6> )	表示しユーザに <val6> というプロンプトを文字列を入力させる
x = input ( <val1> )	表示しユーザに <val1> というプロンプトを文字列を入力させる
x = input ( <val5> )	データを表示しユーザに <val5> というプロンプトを入力させる
x = input ( <val1> )	データを表示しユーザに <val1> というプロンプトを入力させる
x = input ( <val5> )	表示しユーザに <val5> というプロンプトを値を入力させる
x = input ( <val1> )	表示しユーザに <val1> というプロンプトを値を入力させる
x = input ( <val4> )	<val4> というプロンプトを表示しユーザにデータを入力させる
x = input ( <val1> )	<val1> というプロンプトを表示しユーザにデータを入力させる
x = input ( <val3> )	文字列を <val3> というプロンプトを表示しユーザに入力させる
x = input ( <val1> )	文字列を <val1> というプロンプトを表示しユーザに入力させる
x = input ( <val4> )	<val4> というプロンプトを値を表示しユーザに入力させる
x = input ( <val1> )	<val1> というプロンプトを値を表示しユーザに入力させる
x = input ( <val6> )	表示しユーザに <val6> というプロンプトをデータを入力させる
x = input ( <val1> )	表示しユーザに <val1> というプロンプトをデータを入力させる
x = input ( <val6> )	<val6> というプロンプトを文字列を表示しユーザに入力させる
x = input ( <val1> )	<val1> というプロンプトを文字列を表示しユーザに入力させる
x = input ( <val5> )	データを <val5> というプロンプトを表示しユーザに入力させる
x = input ( <val1> )	データを <val1> というプロンプトを表示しユーザに入力させる
x = input ( <val5> )	<val5> という問い合わせに対しユーザから / 入力を得る
x = input ( <val1> )	<val1> という問い合わせに対しユーザから / 入力を得る
float ( <name3> )	<name3> を浮動小数点数に変換する
float ( <name1> )	<name1> を浮動小数点数に変換する
float ( <name5> )	浮動小数点数に <name5> を置き換える
float ( <name1> )	浮動小数点数に <name1> を置き換える
float ( <name5> )	浮動小数点数に <name5> をする
float ( <name1> )	浮動小数点数に <name1> をする
float ( <name2> )	<name2> を浮動小数点数にする
float ( <name1> )	<name1> を浮動小数点数にする
float ( <name2> )	浮動小数点数に <name2> を変換する
float ( <name1> )	浮動小数点数に <name1> を変換する
float ( <name4> )	<name4> を浮動小数点数に置き換える
float ( <name1> )	<name1> を浮動小数点数に置き換える
float ( <name5> )	<name5> を浮動小数点数に直す
float ( <name1> )	<name1> を浮動小数点数に直す
float ( <name6> )	浮動小数点数に <name6> を直す
float ( <name1> )	浮動小数点数に <name1> を直す
float ( <name3> )	<name3> を浮動小数点数にする
float ( <name1> )	<name1> を浮動小数点数にする
float ( <name6> )	<name6> を浮動小数点数に置き換える
float ( <name1> )	<name1> を浮動小数点数に置き換える
float ( <name5> )	浮動小数点数に <name5> をする
float ( <name1> )	浮動小数点数に <name1> をする
float ( <name4> )	<name4> を浮動小数点数に直す
float ( <name1> )	<name1> を浮動小数点数に直す
float ( <name3> )	浮動小数点数に <name3> を置き換える
float ( <name1> )	浮動小数点数に <name1> を置き換える
float ( <name3> )	浮動小数点数に <name3> を直す
float ( <name1> )	浮動小数点数に <name1> を直す
