<name4> = <val1>	<name4> に <val1> を代入する
<name1> . difference ( <name2> )	<name1> と <name2> の差集合
<name5> . difference ( <name6> )	<name5> と <name6> の差集合を計算する
<name1> . difference ( <name2> )	<name1> と <name2> の差集合を計算する
<name5> . difference ( <name6> )	<name5> と <name6> の差集合を得る
<name1> . difference ( <name2> )	<name1> と <name2> の差集合を得る
<name3> . symmetric_difference ( <name2> )	<name3> と <name2> の対称差集合
<name1> . symmetric_difference ( <name2> )	<name1> と <name2> の対称差集合
<name4> . symmetric_difference ( <name3> )	<name4> と <name3> の対称差を計算する
<name1> . symmetric_difference ( <name2> )	<name1> と <name2> の対称差を計算する
<name2> . symmetric_difference ( <name3> )	<name2> と <name3> の対称差集合をえる
<name1> . symmetric_difference ( <name2> )	<name1> と <name2> の対称差集合をえる
<name5> . issubset ( <name1> )	<name5> が <name1> の部分集合かどうか
<name1> . issubset ( <name2> )	<name1> が <name2> の部分集合かどうか
if <name6> . issubset ( <name3> ) :	もし <name6> が <name3> の部分集合なら
if <name1> . issubset ( <name2> ) :	もし <name1> が <name2> の部分集合なら
<name2> . issuperset ( <name5> )	<name2> が <name5> の上位集合かどうか
<name1> . issuperset ( <name2> )	<name1> が <name2> の上位集合かどうか
if <name3> . issuperset ( <name4> ) :	もし <name3> が <name4> の上位集合ならば
if <name1> . issuperset ( <name2> ) :	もし <name1> が <name2> の上位集合ならば
<name3> . isdisjoint ( <name4> )	<name3> が <name4> と互いに素かどうか
<name1> . isdisjoint ( <name2> )	<name1> が <name2> と互いに素かどうか
if <name6> . isdisjoint ( <name1> ) :	<name6> が <name1> と互いに素の場合
if <name1> . isdisjoint ( <name2> ) :	<name1> が <name2> と互いに素の場合
<name6> . isdisjoint ( <name5> )	<name6> と <name5> が互いに素かどうか
<name1> . isdisjoint ( <name2> )	<name1> と <name2> が互いに素かどうか
if <name6> . isdisjoint ( <name3> ) :	もし <name6> と <name3> が互いに素なら
if <name1> . isdisjoint ( <name2> ) :	もし <name1> と <name2> が互いに素なら
frozenset ( )	イミュータブルなセット
<name5> = frozenset ( )	イミュータブルなセットを <name5> にする
<name1> = frozenset ( )	イミュータブルなセットを <name1> にする
frozenset ( <name3> )	<name3> のイミュータブルなセット
frozenset ( <name1> )	<name1> のイミュータブルなセット
<name2> = frozenset ( <name3> )	<name3> のイミュータブルなセットを <name2> とする
<name1> = frozenset ( <name2> )	<name2> のイミュータブルなセットを <name1> とする
breakpoint ( )	デバッガーを起動する
globals	グローバル変数の辞書
locals	ローカル変数の辞書
import <name2>	<name2> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
random . random ( )	0.0 〜 1.0 の乱数
random . random ( )	0.0 以上 1.0 未満の乱数
random . randrange ( <val3> )	0 から <val3> 未満までの整数乱数
random . randrange ( <val1> )	0 から <val1> 未満までの整数乱数
<name3> = random . randrange ( <val2> )	0 から <val2> 未満までの整数乱数を <name3> とする
<name1> = random . randrange ( <val2> )	0 から <val2> 未満までの整数乱数を <name1> とする
random . randrange ( <val1> )	<val1> 未満までの整数乱数
<name3> = random . randrange ( <val5> )	<val5> 未満までの整数乱数を <name3> とする
<name1> = random . randrange ( <val2> )	<val2> 未満までの整数乱数を <name1> とする
random . randrange ( <val6> , <val2> )	<val6> から <val2> 未満までの整数乱数
random . randrange ( <val1> , <val2> )	<val1> から <val2> 未満までの整数乱数
<name1> = random . randrange ( <val3> , <val6> )	<val3> から <val6> 未満までの整数乱数を <name1> とする
<name1> = random . randrange ( <val2> , <val3> )	<val2> から <val3> 未満までの整数乱数を <name1> とする
random . randrange ( <val5> , <val1> )	<val5> 以上 <val1> 未満までの整数乱数
random . randrange ( <val1> , <val2> )	<val1> 以上 <val2> 未満までの整数乱数
<name6> = random . randrange ( <val2> , <val4> )	<val2> 以上 <val4> 未満までの整数乱数を <name6> に代入する
<name1> = random . randrange ( <val2> , <val3> )	<val2> 以上 <val3> 未満までの整数乱数を <name1> に代入する
random . randint ( <val6> , <val3> )	<val6> 以上 <val3> 以下の整数乱数
random . randint ( <val1> , <val2> )	<val1> 以上 <val2> 以下の整数乱数
<name3> = random . randint ( <val5> , <val2> )	<val5> 以上 <val2> 以下の整数乱数を <name3> に代入する
<name1> = random . randint ( <val2> , <val3> )	<val2> 以上 <val3> 以下の整数乱数を <name1> に代入する
random . seed ( <val1> )	乱数シードを <val1> に固定する
random . seed ( <val5> )	乱数シードを <val5> として乱数生成器を初期化する
random . seed ( <val1> )	乱数シードを <val1> として乱数生成器を初期化する
random . choice ( <name6> )	<name6> からランダムに要素をチョイスする
random . choice ( <name1> )	<name1> からランダムに要素をチョイスする
random . sample ( <name4> , <val5> )	<name4> からランダムに要素を <val5> つチョイスする
random . sample ( <name1> , <val2> )	<name1> からランダムに要素を <val2> つチョイスする
random . shuffle ( <name1> )	<name1> をランダムにシャッフルする
import <name3>	<name3> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
math . sqrt ( <name4> )	<name4> の平方根
math . sqrt ( <name1> )	<name1> の平方根
math . sqrt ( <name4> )	<name4> の平方根を表示する
math . sqrt ( <name1> )	<name1> の平方根を表示する
math . sqrt ( <name6> )	<name6> の平方根を算出する
math . sqrt ( <name1> )	<name1> の平方根を算出する
<name4> = math . sqrt ( <name2> )	<name2> の平方根を <name4> に代入する
<name1> = math . sqrt ( <name2> )	<name2> の平方根を <name1> に代入する
math . sqrt ( <name2> )	<name2> のルート
math . sqrt ( <name1> )	<name1> のルート
math . sqrt ( <name3> )	<name3> のルートを調べる
math . sqrt ( <name1> )	<name1> のルートを調べる
math . sqrt ( <name2> )	<name2> のルートを求める
math . sqrt ( <name1> )	<name1> のルートを求める
<name4> = math . sqrt ( <name5> )	<name5> のルートを <name4> に代入する
<name1> = math . sqrt ( <name2> )	<name2> のルートを <name1> に代入する
math . ceil ( <name5> )	<name5> の小数点以下切り上げ
math . ceil ( <name1> )	<name1> の小数点以下切り上げ
math . ceil ( <name2> )	<name2> の切り上げを調べる
math . ceil ( <name1> )	<name1> の切り上げを調べる
math . ceil ( <name5> )	<name5> の切り上げを計算する
math . ceil ( <name1> )	<name1> の切り上げを計算する
<name2> = math . ceil ( <name4> )	<name4> の切り上げを <name2> にする
<name1> = math . ceil ( <name2> )	<name2> の切り上げを <name1> にする
math . ceil ( <name2> )	<name2> を最も近い数値に切り上げ
math . ceil ( <name1> )	<name1> を最も近い数値に切り上げ
math . ceil ( <name5> )	<name5> を最も近い整数に切り上げを調べる
math . ceil ( <name1> )	<name1> を最も近い整数に切り上げを調べる
math . ceil ( <name4> )	<name4> を最も近い整数に切り上げを算出する
math . ceil ( <name1> )	<name1> を最も近い整数に切り上げを算出する
<name4> = math . ceil ( <name1> )	<name1> を最も近い整数に切り上げを <name4> にする
<name1> = math . ceil ( <name2> )	<name2> を最も近い整数に切り上げを <name1> にする
math . ceil ( <name5> )	<name5> に最も近い数値に切り上げ
math . ceil ( <name1> )	<name1> に最も近い数値に切り上げ
math . ceil ( <name6> )	<name6> に最も近い数値に切り上げを調べる
math . ceil ( <name1> )	<name1> に最も近い数値に切り上げを調べる
math . ceil ( <name3> )	<name3> に最も近い整数に切り上げを計算する
math . ceil ( <name1> )	<name1> に最も近い整数に切り上げを計算する
<name6> = math . ceil ( <name5> )	<name5> に最も近い整数に切り上げを <name6> に代入する
<name1> = math . ceil ( <name2> )	<name2> に最も近い整数に切り上げを <name1> に代入する
math . floor ( <name3> )	<name3> の小数点以下切り捨て
math . floor ( <name1> )	<name1> の小数点以下切り捨て
math . floor ( <name2> )	<name2> の切り捨てを表示する
math . floor ( <name1> )	<name1> の切り捨てを表示する
math . floor ( <name3> )	<name3> の小数点以下切り捨てを算出する
math . floor ( <name1> )	<name1> の小数点以下切り捨てを算出する
<name4> = math . floor ( <name1> )	<name1> の小数点以下切り捨てを <name4> にする
<name1> = math . floor ( <name2> )	<name2> の小数点以下切り捨てを <name1> にする
math . floor ( <name2> )	<name2> を最も近い整数に切り捨て
math . floor ( <name1> )	<name1> を最も近い整数に切り捨て
math . floor ( <name6> )	<name6> を最も近い整数に切り捨てを調べる
math . floor ( <name1> )	<name1> を最も近い整数に切り捨てを調べる
math . floor ( <name5> )	<name5> を最も近い整数に切り捨てを算出する
math . floor ( <name1> )	<name1> を最も近い整数に切り捨てを算出する
<name5> = math . floor ( <name4> )	<name4> を最も近い整数に切り捨てを <name5> に代入する
<name1> = math . floor ( <name2> )	<name2> を最も近い整数に切り捨てを <name1> に代入する
math . floor ( <name3> )	<name3> に最も近い整数に切り捨て
math . floor ( <name1> )	<name1> に最も近い整数に切り捨て
math . floor ( <name5> )	<name5> に最も近い整数に切り捨てを見る
math . floor ( <name1> )	<name1> に最も近い整数に切り捨てを見る
math . floor ( <name6> )	<name6> に最も近い整数に切り捨てを求める
math . floor ( <name1> )	<name1> に最も近い整数に切り捨てを求める
<name2> = math . floor ( <name5> )	<name5> に最も近い整数に切り捨てを <name2> に代入する
<name1> = math . floor ( <name2> )	<name2> に最も近い整数に切り捨てを <name1> に代入する
math . gcd ( <name2> , <name3> )	<name2> と <name3> の最大公約数
math . gcd ( <name1> , <name2> )	<name1> と <name2> の最大公約数
math . gcd ( <name2> , <name6> )	<name2> と <name6> の最大公約数をチェックする
math . gcd ( <name1> , <name2> )	<name1> と <name2> の最大公約数をチェックする
math . gcd ( <name5> , <name6> )	<name5> と <name6> の最大公約数を計算する
math . gcd ( <name1> , <name2> )	<name1> と <name2> の最大公約数を計算する
<name1> = math . gcd ( <name3> , <name5> )	<name3> と <name5> の最大公約数を <name1> にする
<name1> = math . gcd ( <name2> , <name3> )	<name2> と <name3> の最大公約数を <name1> にする
math . lcm ( <name5> , <name1> )	<name5> と <name1> の最小公倍数
math . lcm ( <name1> , <name2> )	<name1> と <name2> の最小公倍数
math . lcm ( <name3> , <name6> )	<name3> と <name6> の最小公倍数を見る
math . lcm ( <name1> , <name2> )	<name1> と <name2> の最小公倍数を見る
math . lcm ( <name3> , <name2> )	<name3> と <name2> の最小公倍数を計算する
math . lcm ( <name1> , <name2> )	<name1> と <name2> の最小公倍数を計算する
<name2> = math . lcm ( <name5> , <name4> )	<name5> と <name4> の最小公倍数を <name2> とする
<name1> = math . lcm ( <name2> , <name3> )	<name2> と <name3> の最小公倍数を <name1> とする
math . comb ( <name4> , <name3> )	<name4> と <name3> の組み合わせ
math . comb ( <name1> , <name2> )	<name1> と <name2> の組み合わせ
math . comb ( <name4> , <name2> )	<name4> と <name2> の組み合わせを確認する
math . comb ( <name1> , <name2> )	<name1> と <name2> の組み合わせを確認する
math . comb ( <name2> , <name1> )	<name2> と <name1> のコンビネーションを算出する
math . comb ( <name1> , <name2> )	<name1> と <name2> のコンビネーションを算出する
<name6> = math . comb ( <name5> , <name2> )	<name5> と <name2> のコンビネーションを <name6> に代入する
<name1> = math . comb ( <name2> , <name3> )	<name2> と <name3> のコンビネーションを <name1> に代入する
math . copysign ( <name3> , <name4> )	<name4> の符号を持った <name3>
math . copysign ( <name1> , <name2> )	<name2> の符号を持った <name1>
math . copysign ( <name1> , <name3> )	<name3> の符号を持った <name1> を確認する
math . copysign ( <name1> , <name2> )	<name2> の符号を持った <name1> を確認する
math . copysign ( <name5> , <name6> )	<name6> の符号を持った <name5> を求める
math . copysign ( <name1> , <name2> )	<name2> の符号を持った <name1> を求める
<name5> = math . copysign ( <name2> , <name3> )	<name3> の符号を持った <name2> を <name5> とする
<name1> = math . copysign ( <name2> , <name3> )	<name3> の符号を持った <name2> を <name1> とする
math . copysign ( <name3> , <name2> )	<name3> を <name2> の符号にした値
math . copysign ( <name1> , <name2> )	<name1> を <name2> の符号にした値
math . copysign ( <name2> , <name4> )	<name2> を <name4> の符号にした値を見る
math . copysign ( <name1> , <name2> )	<name1> を <name2> の符号にした値を見る
math . copysign ( <name2> , <name5> )	<name2> を <name5> の符号にした値を計算する
math . copysign ( <name1> , <name2> )	<name1> を <name2> の符号にした値を計算する
<name3> = math . copysign ( <name1> , <name6> )	<name1> を <name6> の符号にした値を <name3> とする
<name1> = math . copysign ( <name2> , <name3> )	<name2> を <name3> の符号にした値を <name1> とする
math . fabs ( <name1> )	<name1> の絶対値
math . fabs ( <name1> )	<name1> の絶対値を表示する
math . fabs ( <name4> )	<name4> の絶対値を求める
math . fabs ( <name1> )	<name1> の絶対値を求める
<name4> = math . fabs ( <name6> )	<name6> の絶対値を <name4> にする
<name1> = math . fabs ( <name2> )	<name2> の絶対値を <name1> にする
math . factorial ( <name1> )	<name1> の階乗
math . factorial ( <name5> )	<name5> の階乗を調べる
math . factorial ( <name1> )	<name1> の階乗を調べる
math . factorial ( <name2> )	<name2> の階乗を計算する
math . factorial ( <name1> )	<name1> の階乗を計算する
<name1> = math . factorial ( <name4> )	<name4> の階乗を <name1> にする
<name1> = math . factorial ( <name2> )	<name2> の階乗を <name1> にする
math . frexp ( <name2> )	<name2> の仮数と指数
math . frexp ( <name1> )	<name1> の仮数と指数
math . frexp ( <name5> )	<name5> の仮数と指数を調べる
math . frexp ( <name1> )	<name1> の仮数と指数を調べる
math . frexp ( <name6> )	<name6> の仮数と指数を求める
math . frexp ( <name1> )	<name1> の仮数と指数を求める
math . isclose ( <name6> , <name3> )	<name6> と <name3> が近いかどうか
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近いかどうか
math . isclose ( <name4> , <name2> )	<name4> と <name2> が近いかどうかを調べる
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近いかどうかを調べる
math . isclose ( <name4> , <name1> )	<name4> と <name1> が近いかどうかを求める
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近いかどうかを求める
if math . isclose ( <name2> , <name5> ) :	もし <name2> と <name5> が近いとき
if math . isclose ( <name1> , <name2> ) :	もし <name1> と <name2> が近いとき
math . isclose ( <name3> , <name1> )	<name3> と <name1> が近似値かどうか
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近似値かどうか
math . isclose ( <name3> , <name5> )	<name3> と <name5> が近似値かどうかを確認する
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近似値かどうかを確認する
math . isclose ( <name3> , <name6> )	<name3> と <name6> が近似値かどうかを求める
math . isclose ( <name1> , <name2> )	<name1> と <name2> が近似値かどうかを求める
if math . isclose ( <name6> , <name5> ) :	もし <name6> と <name5> が近似値の場合
if math . isclose ( <name1> , <name2> ) :	もし <name1> と <name2> が近似値の場合
math . isfinite ( <name1> )	<name1> が有限かどうか
math . isfinite ( <name4> )	<name4> が有限かどうかを表示する
math . isfinite ( <name1> )	<name1> が有限かどうかを表示する
math . isfinite ( <name6> )	<name6> が有限かどうかを求める
math . isfinite ( <name1> )	<name1> が有限かどうかを求める
if math . isfinite ( <name3> ) :	もし <name3> が有限なら
if math . isfinite ( <name1> ) :	もし <name1> が有限なら
math . isinf ( <name3> )	<name3> が無限大かどうか
math . isinf ( <name1> )	<name1> が無限大かどうか
math . isinf ( <name1> )	<name1> が無限大かどうかを確認する
math . isinf ( <name1> )	<name1> が無限大かどうかを算出する
if math . isinf ( <name6> ) :	<name6> が無限大の場合
if math . isinf ( <name1> ) :	<name1> が無限大の場合
math . isnan ( <name6> )	<name6> が NaN かどうか
math . isnan ( <name1> )	<name1> が NaN かどうか
math . isnan ( <name5> )	<name5> が NaN かどうかを見る
math . isnan ( <name1> )	<name1> が NaN かどうかを見る
math . isnan ( <name4> )	<name4> が NaN かどうかを求める
math . isnan ( <name1> )	<name1> が NaN かどうかを求める
if math . isnan ( <name4> ) :	もし <name4> が NaN なら
if math . isnan ( <name1> ) :	もし <name1> が NaN なら
math . modf ( <name3> )	<name3> の小数部と整数部
math . modf ( <name1> )	<name1> の小数部と整数部
math . modf ( <name1> )	<name1> の小数部と整数部を調べる
math . modf ( <name5> )	<name5> の小数部と整数部を計算する
math . modf ( <name1> )	<name1> の小数部と整数部を計算する
math . perm ( <name1> )	<name1> の順列の総数
math . perm ( <name6> )	<name6> の順列の総数をチェックする
math . perm ( <name1> )	<name1> の順列の総数をチェックする
math . perm ( <name5> )	<name5> の順列の総数を算出する
math . perm ( <name1> )	<name1> の順列の総数を算出する
<name6> = math . perm ( <name2> )	<name2> の順列の総数を <name6> とする
<name1> = math . perm ( <name2> )	<name2> の順列の総数を <name1> とする
math . perm ( <name5> , <name6> )	<name5> から <name6> 個取り出した時の順列の総数
math . perm ( <name1> , <name2> )	<name1> から <name2> 個取り出した時の順列の総数
math . perm ( <name3> , <name5> )	<name3> から <name5> 個取り出した時の順列の総数を調べる
math . perm ( <name1> , <name2> )	<name1> から <name2> 個取り出した時の順列の総数を調べる
math . perm ( <name2> , <name3> )	<name2> から <name3> 個取り出した時の順列の総数を算出する
math . perm ( <name1> , <name2> )	<name1> から <name2> 個取り出した時の順列の総数を算出する
<name6> = math . perm ( <name5> , <name2> )	<name5> から <name2> 個取り出した時の順列の総数を <name6> とする
<name1> = math . perm ( <name2> , <name3> )	<name2> から <name3> 個取り出した時の順列の総数を <name1> とする
math . prod ( <name4> )	<name4> の要素積
math . prod ( <name1> )	<name1> の要素積
math . prod ( <name6> )	<name6> の要素積を表示する
math . prod ( <name1> )	<name1> の要素積を表示する
math . prod ( <name6> )	<name6> の要素積を算出する
math . prod ( <name1> )	<name1> の要素積を算出する
<name3> = math . prod ( <name4> )	<name4> の要素積を <name3> にする
<name1> = math . prod ( <name2> )	<name2> の要素積を <name1> にする
math . remainder ( <name1> , <name4> )	<name1> を <name4> で割った剰余
math . remainder ( <name1> , <name2> )	<name1> を <name2> で割った剰余
math . remainder ( <name5> , <name2> )	<name5> を <name2> で割った剰余を表示する
math . remainder ( <name1> , <name2> )	<name1> を <name2> で割った剰余を表示する
math . remainder ( <name3> , <name5> )	<name3> を <name5> で割った剰余を算出する
math . remainder ( <name1> , <name2> )	<name1> を <name2> で割った剰余を算出する
<name6> = math . remainder ( <name5> , <name2> )	<name5> を <name2> で割った剰余を <name6> に代入する
<name1> = math . remainder ( <name2> , <name3> )	<name2> を <name3> で割った剰余を <name1> に代入する
math . exp ( <name1> )	e の <name1> 乗
math . exp ( <name4> )	e の <name4> 乗を確認する
math . exp ( <name1> )	e の <name1> 乗を確認する
math . exp ( <name6> )	e の <name6> 乗を求める
math . exp ( <name1> )	e の <name1> 乗を求める
<name6> = math . exp ( <name1> )	e の <name1> 乗を <name6> とする
<name1> = math . exp ( <name2> )	e の <name2> 乗を <name1> とする
math . log ( <name6> )	<name6> の自然対数
math . log ( <name1> )	<name1> の自然対数
math . log ( <name5> )	<name5> の自然対数を見る
math . log ( <name1> )	<name1> の自然対数を見る
math . log ( <name4> )	<name4> の自然対数を計算する
math . log ( <name1> )	<name1> の自然対数を計算する
<name3> = math . log ( <name6> )	<name6> の自然対数を <name3> とする
<name1> = math . log ( <name2> )	<name2> の自然対数を <name1> とする
math . log ( <name5> , <name4> )	<name4> を底とする <name5> の対数
math . log ( <name1> , <name2> )	<name2> を底とする <name1> の対数
math . log ( <name6> , <name2> )	<name2> を底とする <name6> の対数を見る
math . log ( <name1> , <name2> )	<name2> を底とする <name1> の対数を見る
math . log ( <name4> , <name1> )	<name1> を底とする <name4> の対数を計算する
math . log ( <name1> , <name2> )	<name2> を底とする <name1> の対数を計算する
<name6> = math . log ( <name1> , <name5> )	<name5> を底とする <name1> の対数を <name6> にする
<name1> = math . log ( <name2> , <name3> )	<name3> を底とする <name2> の対数を <name1> にする
math . log ( <name3> , <name5> )	<name5> に対する <name3> の対数
math . log ( <name1> , <name2> )	<name2> に対する <name1> の対数
math . log ( <name3> , <name5> )	<name5> に対する <name3> の対数をチェックする
math . log ( <name1> , <name2> )	<name2> に対する <name1> の対数をチェックする
math . log ( <name1> , <name6> )	<name6> に対する <name1> の対数を計算する
math . log ( <name1> , <name2> )	<name2> に対する <name1> の対数を計算する
<name6> = math . log ( <name2> , <name5> )	<name5> に対する <name2> の対数を <name6> に代入する
<name1> = math . log ( <name2> , <name3> )	<name3> に対する <name2> の対数を <name1> に代入する
math . log1p ( <name3> )	1 + <name3> の自然対数
math . log1p ( <name1> )	1 + <name1> の自然対数
math . log1p ( <name6> )	1 + <name6> の自然対数を見る
math . log1p ( <name1> )	1 + <name1> の自然対数を見る
math . log1p ( <name6> )	1 + <name6> の自然対数を計算する
math . log1p ( <name1> )	1 + <name1> の自然対数を計算する
<name6> = math . log1p ( <name5> )	1 + <name5> の自然対数を <name6> に代入する
<name1> = math . log1p ( <name2> )	1 + <name2> の自然対数を <name1> に代入する
math . log2 ( <name6> )	2 を底とする <name6> の対数
math . log2 ( <name1> )	2 を底とする <name1> の対数
math . log2 ( <name2> )	2 を底とする <name2> の対数を表示する
math . log2 ( <name1> )	2 を底とする <name1> の対数を表示する
math . log2 ( <name6> )	2 を底とする <name6> の対数を算出する
math . log2 ( <name1> )	2 を底とする <name1> の対数を算出する
<name6> = math . log2 ( <name4> )	2 を底とする <name4> の対数を <name6> とする
<name1> = math . log2 ( <name2> )	2 を底とする <name2> の対数を <name1> とする
math . log10 ( <name4> )	<name4> の常用対数
math . log10 ( <name1> )	<name1> の常用対数
math . log10 ( <name2> )	<name2> の常用対数を表示する
math . log10 ( <name1> )	<name1> の常用対数を表示する
math . log10 ( <name2> )	<name2> の常用対数を求める
math . log10 ( <name1> )	<name1> の常用対数を求める
<name3> = math . log10 ( <name5> )	<name5> の常用対数を <name3> とする
<name1> = math . log10 ( <name2> )	<name2> の常用対数を <name1> とする
math . log10 ( <name5> )	<name5> の 10 を底とする対数
math . log10 ( <name1> )	<name1> の 10 を底とする対数
math . log10 ( <name3> )	<name3> の 10 を底とする対数を表示する
math . log10 ( <name1> )	<name1> の 10 を底とする対数を表示する
math . log10 ( <name3> )	<name3> の 10 を底とする対数を求める
math . log10 ( <name1> )	<name1> の 10 を底とする対数を求める
<name2> = math . log10 ( <name3> )	<name3> の 10 を底とする対数を <name2> とする
<name1> = math . log10 ( <name2> )	<name2> の 10 を底とする対数を <name1> とする
math . cos ( <name6> )	<name6> の余弦
math . cos ( <name1> )	<name1> の余弦
math . cos ( <name4> )	<name4> の余弦をチェックする
math . cos ( <name1> )	<name1> の余弦をチェックする
math . cos ( <name2> )	<name2> の余弦を計算する
math . cos ( <name1> )	<name1> の余弦を計算する
<name1> = math . cos ( <name2> )	<name2> の余弦を <name1> にする
math . cos ( <name5> )	<name5> のコサイン
math . cos ( <name1> )	<name1> のコサイン
math . cos ( <name5> )	<name5> のコサインをチェックする
math . cos ( <name1> )	<name1> のコサインをチェックする
math . cos ( <name6> )	<name6> のコサインを計算する
math . cos ( <name1> )	<name1> のコサインを計算する
<name2> = math . cos ( <name3> )	<name3> のコサインを <name2> にする
<name1> = math . cos ( <name2> )	<name2> のコサインを <name1> にする
math . sin ( <name1> )	<name1> の正弦
math . sin ( <name1> )	<name1> の正弦を調べる
math . sin ( <name4> )	<name4> の正弦を求める
math . sin ( <name1> )	<name1> の正弦を求める
<name5> = math . sin ( <name4> )	<name4> の正弦を <name5> に代入する
<name1> = math . sin ( <name2> )	<name2> の正弦を <name1> に代入する
math . sin ( <name5> )	<name5> のサイン
math . sin ( <name1> )	<name1> のサイン
math . sin ( <name1> )	<name1> のサインを表示する
math . sin ( <name6> )	<name6> のサインを計算する
math . sin ( <name1> )	<name1> のサインを計算する
<name6> = math . sin ( <name3> )	<name3> のサインを <name6> に代入する
<name1> = math . sin ( <name2> )	<name2> のサインを <name1> に代入する
math . tan ( <name6> )	<name6> の正接
math . tan ( <name1> )	<name1> の正接
math . tan ( <name5> )	<name5> の正接をチェックする
math . tan ( <name1> )	<name1> の正接をチェックする
math . tan ( <name5> )	<name5> の正接を算出する
math . tan ( <name1> )	<name1> の正接を算出する
<name3> = math . tan ( <name4> )	<name4> の正接を <name3> に代入する
<name1> = math . tan ( <name2> )	<name2> の正接を <name1> に代入する
math . tan ( <name6> )	<name6> のタンジェント
math . tan ( <name1> )	<name1> のタンジェント
math . tan ( <name6> )	<name6> のタンジェントをチェックする
math . tan ( <name1> )	<name1> のタンジェントをチェックする
math . tan ( <name3> )	<name3> のタンジェントを算出する
math . tan ( <name1> )	<name1> のタンジェントを算出する
<name1> = math . tan ( <name4> )	<name4> のタンジェントを <name1> とする
<name1> = math . tan ( <name2> )	<name2> のタンジェントを <name1> とする
math . acos ( <name4> )	<name4> の逆余弦
math . acos ( <name1> )	<name1> の逆余弦
math . acos ( <name6> )	<name6> の逆余弦を表示する
math . acos ( <name1> )	<name1> の逆余弦を表示する
math . acos ( <name3> )	<name3> の逆余弦を計算する
math . acos ( <name1> )	<name1> の逆余弦を計算する
<name6> = math . acos ( <name2> )	<name2> の逆余弦を <name6> に代入する
<name1> = math . acos ( <name2> )	<name2> の逆余弦を <name1> に代入する
math . acos ( <name2> )	<name2> のアークコサイン
math . acos ( <name1> )	<name1> のアークコサイン
math . acos ( <name2> )	<name2> のアークコサインを調べる
math . acos ( <name1> )	<name1> のアークコサインを調べる
math . acos ( <name5> )	<name5> のアークコサインを求める
math . acos ( <name1> )	<name1> のアークコサインを求める
<name2> = math . acos ( <name1> )	<name1> のアークコサインを <name2> にする
<name1> = math . acos ( <name2> )	<name2> のアークコサインを <name1> にする
math . asin ( <name3> )	<name3> の逆正弦
math . asin ( <name1> )	<name1> の逆正弦
math . asin ( <name1> )	<name1> の逆正弦をチェックする
math . asin ( <name5> )	<name5> の逆正弦を算出する
math . asin ( <name1> )	<name1> の逆正弦を算出する
<name4> = math . asin ( <name2> )	<name2> の逆正弦を <name4> に代入する
<name1> = math . asin ( <name2> )	<name2> の逆正弦を <name1> に代入する
math . asin ( <name6> )	<name6> のアークサイン
math . asin ( <name1> )	<name1> のアークサイン
math . asin ( <name1> )	<name1> のアークサインをチェックする
math . asin ( <name3> )	<name3> のアークサインを求める
math . asin ( <name1> )	<name1> のアークサインを求める
<name5> = math . asin ( <name2> )	<name2> のアークサインを <name5> に代入する
<name1> = math . asin ( <name2> )	<name2> のアークサインを <name1> に代入する
math . atan ( <name6> )	<name6> の逆正接
math . atan ( <name1> )	<name1> の逆正接
math . atan ( <name2> )	<name2> の逆正接を見る
math . atan ( <name1> )	<name1> の逆正接を見る
math . atan ( <name4> )	<name4> の逆正接を算出する
math . atan ( <name1> )	<name1> の逆正接を算出する
<name6> = math . atan ( <name3> )	<name3> の逆正接を <name6> にする
<name1> = math . atan ( <name2> )	<name2> の逆正接を <name1> にする
math . atan ( <name6> )	<name6> のアークタンジェント
math . atan ( <name1> )	<name1> のアークタンジェント
math . atan ( <name3> )	<name3> のアークタンジェントをチェックする
math . atan ( <name1> )	<name1> のアークタンジェントをチェックする
math . atan ( <name1> )	<name1> のアークタンジェントを計算する
<name3> = math . atan ( <name2> )	<name2> のアークタンジェントを <name3> にする
<name1> = math . atan ( <name2> )	<name2> のアークタンジェントを <name1> にする
math . degrees ( <name1> )	<name1> の角度
math . degrees ( <name1> )	<name1> の角度をチェックする
math . degrees ( <name5> )	<name5> の角度を求める
math . degrees ( <name1> )	<name1> の角度を求める
<name6> = math . degrees ( <name4> )	<name4> の角度を <name6> とする
<name1> = math . degrees ( <name2> )	<name2> の角度を <name1> とする
math . radians ( <name3> )	<name3> のラジアン
math . radians ( <name1> )	<name1> のラジアン
math . radians ( <name6> )	<name6> のラジアンをチェックする
math . radians ( <name1> )	<name1> のラジアンをチェックする
math . radians ( <name4> )	<name4> のラジアンを求める
math . radians ( <name1> )	<name1> のラジアンを求める
<name6> = math . radians ( <name3> )	<name3> のラジアンを <name6> に代入する
<name1> = math . radians ( <name2> )	<name2> のラジアンを <name1> に代入する
math . acosh ( <name2> )	<name2> の逆双曲線余弦
math . acosh ( <name1> )	<name1> の逆双曲線余弦
math . acosh ( <name6> )	<name6> の逆双曲線余弦を見る
math . acosh ( <name1> )	<name1> の逆双曲線余弦を見る
